Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2553,1831.5,0,0,5,92,6,48,123,241.424,236.141,214.935,3.09676,4.61633,4.50405, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2562.5,1828.5,0,0,5,85,6,44,121,239.071,230.541,209.659,3.01049,4.38006,4.2013, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2574.25,1823.75,0,0,5,97,6,54,100,241.34,238.99,222.505,2.57222,5.14554,8.14377, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2584,1818.5,0,0,5,89,6,54,104,241.978,240.202,224.236,2.03834,3.558,6.22961, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2518,1808.5,0,0,2,99,7,50,132,240.667,235.929,211.313,4.16228,6.99874,5.57849, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2140,1796.5,0,0,5,78,6,22,73,194.795,164.679,146.756,6.41924,5.30114,4.16708, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2130.75,1795.25,0,0,5,127,7,28,105,208.543,174.15,144.614,13.6776,9.74582,6.08053, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2099.75,1801.25,0,0,3,422,13,30,115,229.301,207.794,185.524,15.3467,20.225,17.7273, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2342,1782.5,0,0,2,189,9,42,67,241.349,238.45,230.905,4.59376,8.23994,11.1341, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2355.5,1774,0,0,2,49,5,26,105,233.388,215.265,201.98,4.99396,4.62404,5.33067, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2537.75,1752.25,0,0,2,226,10,44,98,238.721,234.482,218.925,5.54644,9.36037,8.88853, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2526.75,1740.75,0,0,2,289,10,44,77,232.938,227.872,214.429,11.8674,13.1223,9.72589, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,1067.68,1777.85,0,0,6,89,6,22,89,197.584,160.337,136.944,5.58333,4.85974,4.49433, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,1069,1767.5,0,0,6,130,8,24,83,193.662,157.577,135.077,4.78164,4.43929,3.87594, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,1058.91,1758.42,0,0,6,146,9,26,103,209.281,174.137,147.253,10.4411,9.52525,6.30548, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,1064.5,1748.5,0,0,6,176,8,26,109,212.824,177.295,150.119,14.5784,12.9613,8.55002, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,1068,1736.5,0,0,6,89,6,24,80,193.798,160.685,137.854,6.73023,5.54094,4.53966, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,266.5,1615,0,0,2,87,5,22,110,200.908,149.598,119.391,6.32535,4.9609,3.8981, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,260,1609,0,0,2,45,5,22,104,197.533,147.644,119.489,5.98709,4.30088,3.03985, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,116.161,1567.09,0,0,3,136,7,24,95,199.75,160.404,135.088,3.85624,3.14674,3.02728, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,125.385,1562.08,0,0,3,99,6,22,96,199.566,159.465,134.111,3.81469,3.10489,3.27809, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2423.99,1556.11,0,0,3,132,7,20,53,185.629,162.341,150.371,4.02366,3.52811,3.11203, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2418.5,1548.5,0,0,3,35,4,20,47,182.314,160.2,149.029,4.23173,3.76509,3.14457, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1450.25,1569.25,1,0,2,545,14,32,61,170.574,146.297,118.444,17.7847,10.3953,4.98772, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1470.53,1555.59,1,0,2,474,13,34,57,169.247,146.977,119.783,16.4813,9.32169,4.42016, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2422,1434.5,0,0,3,34,4,30,52,184.941,167.382,149.118,11.4458,8.52257,5.19919, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2422.81,1428.78,0,0,3,76,5,28,60,189.592,168.618,149.934,13.1289,10.2906,6.40306, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1356.65,1208.01,1,0,2,181,8,44,29,136.017,128.597,108.204,9.66534,4.74133,3.21925, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1350.28,1192.7,1,0,2,376,11,44,33,141.383,131.894,109.162,15.906,8.00375,3.90227, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1219.5,1016,1,0,2,582,14,42,62,166.344,148.448,109.497,10.9372,6.96323,3.95949, "2021-07-31 [6:22:54 PM]: no comment"
